Date,Close,Volume,Open,High,Low
03/07/2025,154.70,6690149,150.81,155.96,146.66
03/06/2025,152.54,5562290,154.68,158.5878,150.30
03/05/2025,160.50,4771044,155.85,162.51,152.96
03/04/2025,156.21,5799352,158.46,163.125,152.21
03/03/2025,162.00,4011998,172.59,173.6199,158.5738
02/28/2025,170.87,6333812,163.76,171.3675,161.12
02/27/2025,163.55,3875281,173.66,174.678,163.10
02/26/2025,171.63,3217271,172.96,176.115,169.43
02/25/2025,171.50,3707619,174.11,174.71,167.4432
02/24/2025,174.19,2548855,178.39,179.32,173.55
02/21/2025,176.76,3413512,186.02,186.05,176.25
02/20/2025,186.32,2364206,187.48,187.57,183.305
02/19/2025,188.75,1804431,186.18,189.07,185.71
02/18/2025,187.41,1500027,187.01,187.48,184.70
02/14/2025,185.97,1542806,186.17,187.14,185.40
02/13/2025,186.14,2325589,181.56,186.41,180.40
02/12/2025,180.66,2622731,176.79,181.65,176.25
02/11/2025,182.32,1807924,179.87,182.89,179.78
02/10/2025,181.94,4471317,181.29,182.62,180.12
02/07/2025,178.49,3280627,183.94,185.1001,177.79
02/06/2025,183.67,2003261,183.31,183.74,180.359
02/05/2025,181.82,2030516,178.70,181.9586,176.83
02/04/2025,179.53,2073443,176.21,180.14,175.72
02/03/2025,176.15,4077324,171.63,178.46,169.70
01/31/2025,179.98,3513638,185.20,187.38,179.26
01/30/2025,183.03,2688317,182.05,184.4151,179.1514
01/29/2025,180.23,2515257,181.80,182.23,177.82
01/28/2025,182.52,2542480,179.17,183.39,176.25
01/27/2025,178.20,3714251,173.94,178.42,173.7657
01/24/2025,185.99,2318373,187.83,188.7199,184.99
01/23/2025,187.83,1996082,184.33,187.90,184.10
01/22/2025,184.79,2074796,184.51,186.21,184.08
01/21/2025,181.84,4732484,179.93,181.94,178.15
01/17/2025,177.11,2967778,176.63,178.7299,175.42
01/16/2025,172.30,2327829,174.37,174.6177,171.61
01/15/2025,173.15,2979958,171.25,174.2299,170.25
01/14/2025,164.22,3542209,166.20,166.7356,161.14
01/13/2025,163.79,3609136,158.98,164.00,158.64
01/10/2025,163.09,7967485,167.73,167.75,161.38
01/08/2025,170.97,4246394,170.39,172.00,167.355
01/07/2025,170.53,4255679,178.21,178.5486,168.78
01/06/2025,176.47,3588021,177.24,180.29,174.91
01/03/2025,173.37,7668003,169.73,174.05,168.76
01/02/2025,167.31,5967164,171.53,173.04,163.821
12/31/2024,168.70,3802477,172.09,172.67,167.31
12/30/2024,170.74,3726876,170.43,173.80,167.30
12/27/2024,176.89,4005320,179.05,179.3267,172.94
12/26/2024,182.65,2464593,181.07,183.79,179.81
12/24/2024,182.64,2183231,178.07,182.75,177.5721
12/23/2024,177.11,7031071,173.64,177.57,170.7801
12/20/2024,173.94,4783801,166.13,178.21,165.40
12/19/2024,168.37,4161976,172.88,174.36,168.18
12/18/2024,168.73,4801407,184.89,187.14,168.19
12/17/2024,185.15,3083059,185.15,186.07,183.97
12/16/2024,187.65,6451354,186.92,188.56,186.1908
12/13/2024,185.42,2494470,187.40,188.03,184.045
12/12/2024,185.69,2141934,187.72,188.2478,185.65
12/11/2024,188.64,2438613,187.10,189.52,186.77
12/10/2024,184.48,2396297,186.75,187.05,183.741
12/09/2024,186.16,2350161,189.00,189.1599,185.61
12/06/2024,189.22,2718138,188.82,190.34,188.42
12/05/2024,188.29,2068906,189.18,189.97,187.96
12/04/2024,189.17,2323014,187.40,189.48,186.77
12/03/2024,185.86,1916713,185.41,186.1099,184.43
12/02/2024,185.68,2172168,185.08,186.30,184.63
11/29/2024,184.69,1492744,182.09,185.4386,181.89
11/27/2024,181.42,2578729,183.02,183.45,180.08
11/26/2024,183.32,2197001,181.64,183.93,180.97
11/25/2024,180.43,3279776,182.32,183.50,178.43
11/22/2024,178.74,2961765,177.13,179.35,176.679
11/21/2024,177.16,4258700,177.02,178.5187,171.75
11/20/2024,174.50,3790845,174.39,174.74,169.2801
11/19/2024,174.48,3473653,169.50,175.08,168.9101
11/18/2024,172.69,2657712,170.95,173.80,170.16
11/15/2024,170.55,4853742,174.16,174.58,168.882
11/14/2024,177.55,2691644,181.15,181.6226,176.96
11/13/2024,181.16,2840752,181.25,182.98,179.10
11/12/2024,180.86,2664080,182.60,183.12,178.61
11/11/2024,182.70,2620339,183.66,183.96,181.10
11/08/2024,182.23,2296631,180.38,183.50,180.36
11/07/2024,180.09,3284345,177.76,180.965,177.70
11/06/2024,175.98,4871673,174.47,176.775,171.19
11/05/2024,163.80,2332892,158.92,163.8101,158.75
11/04/2024,158.16,2184860,159.25,160.39,156.52
11/01/2024,159.18,2965263,159.41,162.9852,158.84
10/31/2024,157.33,4449565,163.36,163.43,157.21
10/30/2024,167.25,2960487,168.39,170.14,166.66
10/29/2024,168.79,2111095,167.21,169.80,165.95
10/28/2024,168.07,2245007,169.59,169.59,167.79
10/25/2024,166.54,3395444,168.71,171.2587,165.71
10/24/2024,166.83,2580530,167.54,167.55,164.62
10/23/2024,165.79,4029114,168.69,169.085,162.6809
10/22/2024,170.54,2744709,168.60,171.5901,167.97
10/21/2024,170.97,2997078,171.16,171.99,168.26
10/18/2024,171.76,1942428,171.38,172.53,170.09
10/17/2024,170.04,2881393,173.19,173.325,169.88
10/16/2024,169.95,2130844,167.87,170.50,167.15
10/15/2024,167.90,2916286,172.17,172.4199,166.81
10/14/2024,171.90,2107264,169.21,172.71,168.94
10/11/2024,167.77,2558378,164.82,168.4783,164.72
10/10/2024,165.05,3037377,164.80,166.3419,163.67
10/09/2024,165.92,2653153,162.67,166.48,162.1258
10/08/2024,162.64,2280710,160.37,163.14,159.66
10/07/2024,158.28,3427804,161.27,161.79,157.26
10/04/2024,162.64,3462834,162.20,163.04,158.70
10/03/2024,158.51,2641135,158.19,160.21,156.60
10/02/2024,159.45,2898747,158.51,160.33,156.44
10/01/2024,159.32,4132180,163.39,163.4608,157.0501
09/30/2024,163.95,2972204,160.95,164.308,159.02
09/27/2024,161.84,2367558,163.54,164.25,161.00
09/26/2024,162.77,3407172,164.55,164.77,160.72
09/25/2024,160.78,5808477,161.79,162.43,159.92
09/24/2024,161.93,2788530,161.32,162.05,158.84
09/23/2024,160.82,2099487,160.58,161.4001,159.53
09/20/2024,159.55,3322948,159.38,160.62,157.13
09/19/2024,160.64,3716334,160.74,162.275,158.33
09/18/2024,152.85,5223175,154.88,158.94,152.45
09/17/2024,154.38,2924874,156.05,157.25,152.47
09/16/2024,154.18,5514150,153.37,154.4499,151.84
09/13/2024,153.53,3245445,151.74,154.45,151.54
09/12/2024,151.35,3888434,148.11,151.63,146.32
09/11/2024,147.67,5710007,143.23,148.44,136.35
09/10/2024,143.37,3421016,143.04,143.63,139.22
09/09/2024,141.58,3600432,140.25,142.53,138.72
09/06/2024,137.13,6112815,144.60,145.913,136.26
09/05/2024,144.40,3801328,145.51,147.77,142.47
09/04/2024,145.48,3761038,145.00,148.365,144.41
09/03/2024,146.60,10244090,153.51,153.81,144.3905
08/30/2024,156.18,3453618,153.89,156.68,150.93
08/29/2024,152.16,4573248,153.74,156.47,151.15
08/28/2024,152.16,3511348,154.51,154.89,149.4145
08/27/2024,154.87,3837345,153.18,155.27,152.21
